Middle East & North Africa (IDA & IBRD countries),TMN,"Population, total",384771780
Tonga,TON,"Population, total",104494
South Asia (IDA & IBRD),TSA,"Population, total",1835776742
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Population, total",1106957898
Trinidad and Tobago,TTO,"Population, total",1394973
Tunisia,TUN,"Population, total",11694719
Turkey,TUR,"Population, total",83429615
Tuvalu,TUV,"Population, total",11646
Tanzania,TZA,"Population, total",58005463
Uganda,UGA,"Population, total",44269594
Ukraine,UKR,"Population, total",44385155
Upper middle income,UMC,"Population, total",2855862789
Uruguay,URY,"Population, total",3461734
United States,USA,"Population, total",328239523
Uzbekistan,UZB,"Population, total",33580650
St. Vincent and the Grenadines,VCT,"Population, total",110589
"Venezuela, RB",VEN,"Population, total",28515829
British Virgin Islands,VGB,"Population, total",30030
Virgin Islands (U.S.),VIR,"Population, total",106631
Vietnam,VNM,"Population, total",96462106
Vanuatu,VUT,"Population, total",299882
World,WLD,"Population, total",7673533972
Samoa,WSM,"Population, total",197097
Kosovo,XKX,"Population, total",1794248
"Yemen, Rep.",YEM,"Population, total",29161922
South Africa,ZAF,"Population, total",58558270
Zambia,ZMB,"Population, total",17861030
Zimbabwe,ZWE,"Population, total",14645468
